user_id,abstract_words,count,ranking
000e5a48701b81078943f64e32ab0456,sleep,21,1
000e5a48701b81078943f64e32ab0456,arousal,7,2
000e5a48701b81078943f64e32ab0456,understanding,4,3
000e5a48701b81078943f64e32ab0456,passive,3,4
000e5a48701b81078943f64e32ab0456,recent,3,5
000e5a48701b81078943f64e32ab0456,stability,2,6
000e5a48701b81078943f64e32ab0456,research,2,7
000e5a48701b81078943f64e32ab0456,normal,2,8
000e5a48701b81078943f64e32ab0456,maintenance,2,9
000e5a48701b81078943f64e32ab0456,arousals,2,10
001a1d3a428a4acfdd5fd8514ede7564,place,16,1
001a1d3a428a4acfdd5fd8514ede7564,sense,8,2
001a1d3a428a4acfdd5fd8514ede7564,development,5,3
001a1d3a428a4acfdd5fd8514ede7564,cultural,3,4
001a1d3a428a4acfdd5fd8514ede7564,adult,3,5
001a1d3a428a4acfdd5fd8514ede7564,ancestral,3,6
001a1d3a428a4acfdd5fd8514ede7564,age,2,7
001a1d3a428a4acfdd5fd8514ede7564,maori,2,8
001a1d3a428a4acfdd5fd8514ede7564,peninsula,2,9
001a1d3a428a4acfdd5fd8514ede7564,modern,2,10
003824c77dea92d9c131a1fea34a7739,plant,44,1
003824c77dea92d9c131a1fea34a7739,plants,32,2
003824c77dea92d9c131a1fea34a7739,soil,30,3
003824c77dea92d9c131a1fea34a7739,species,28,4
003824c77dea92d9c131a1fea34a7739,fungi,22,5
003824c77dea92d9c131a1fea34a7739,communities,20,6
003824c77dea92d9c131a1fea34a7739,high,19,7
003824c77dea92d9c131a1fea34a7739,mycorrhizal,18,8
003824c77dea92d9c131a1fea34a7739,scientific,18,9
003824c77dea92d9c131a1fea34a7739,effects,17,10
003a4d67e8f3a774a3889fb871b8627c,testing,30,1
003a4d67e8f3a774a3889fb871b8627c,test,29,2
003a4d67e8f3a774a3889fb871b8627c,model,22,3
003a4d67e8f3a774a3889fb871b8627c,based,17,4
003a4d67e8f3a774a3889fb871b8627c,program,12,5
003a4d67e8f3a774a3889fb871b8627c,specifications,9,6
003a4d67e8f3a774a3889fb871b8627c,security,7,7
003a4d67e8f3a774a3889fb871b8627c,code,7,8
003a4d67e8f3a774a3889fb871b8627c,generation,7,9
003a4d67e8f3a774a3889fb871b8627c,properties,6,10
003e671c47243b742acf32942fca61f0,apps,6,1
003e671c47243b742acf32942fca61f0,smartphone,5,2
003e671c47243b742acf32942fca61f0,health,5,3
003e671c47243b742acf32942fca61f0,healthcare,4,4
003e671c47243b742acf32942fca61f0,remote,3,5
003e671c47243b742acf32942fca61f0,chronic,3,6
003e671c47243b742acf32942fca61f0,management,3,7
003e671c47243b742acf32942fca61f0,windows,3,8
003e671c47243b742acf32942fca61f0,server,2,9
003e671c47243b742acf32942fca61f0,app,2,10
00645ecd2b02228e2862d68f9ee2061f,protein,205,1
00645ecd2b02228e2862d68f9ee2061f,receptors,170,2
00645ecd2b02228e2862d68f9ee2061f,camp,163,3
00645ecd2b02228e2862d68f9ee2061f,receptor,131,4
00645ecd2b02228e2862d68f9ee2061f,ht,122,5
00645ecd2b02228e2862d68f9ee2061f,fret,117,6
00645ecd2b02228e2862d68f9ee2061f,proteins,110,7
00645ecd2b02228e2862d68f9ee2061f,cells,100,8
00645ecd2b02228e2862d68f9ee2061f,cell,81,9
00645ecd2b02228e2862d68f9ee2061f,fluorescence,74,10
0068e7bbd13628942716ffa6862f99f8,individual,5,1
0068e7bbd13628942716ffa6862f99f8,space,5,2
0068e7bbd13628942716ffa6862f99f8,effect,4,3
0068e7bbd13628942716ffa6862f99f8,quantum,4,4
0068e7bbd13628942716ffa6862f99f8,vacuum,4,5
0068e7bbd13628942716ffa6862f99f8,theory,4,6
0068e7bbd13628942716ffa6862f99f8,topology,4,7
0068e7bbd13628942716ffa6862f99f8,chiral,4,8
0068e7bbd13628942716ffa6862f99f8,model,4,9
0068e7bbd13628942716ffa6862f99f8,state,4,10
00978fd7932aba20779192a3e7f6f826,cell,22,1
00978fd7932aba20779192a3e7f6f826,feedback,18,2
00978fd7932aba20779192a3e7f6f826,system,16,3
00978fd7932aba20779192a3e7f6f826,cyclin,12,4
00978fd7932aba20779192a3e7f6f826,cycle,12,5
00978fd7932aba20779192a3e7f6f826,oocyte,11,6
00978fd7932aba20779192a3e7f6f826,systems,11,7
